Model,Xviewer,
BlockNumber,1,
TraceName,CH1,CH2
BlockSize,10010,10010
Date,25-05-2022,25-05-2022
Time,39:35.8,39:35.8
VUnit,V,V
HResolution,5.00E-06,5.00E-06
HOffset,-2.50E-02,-2.50E-02
HUnit,s,s
,2.683333,4.686666
,2.683333,4.673333
,2.67,4.686666
,2.676667,4.686666
,2.683333,4.686666
,2.683333,4.7
,2.67,4.673333
,2.67,4.7
,2.69,4.7
,2.683333,4.7
,2.69,4.7
,2.683333,4.7
,2.676667,4.686666
,2.683333,4.706666
,2.683333,4.7
,2.676667,4.72
,2.683333,4.7
,2.683333,4.7
,2.69,4.706666
,2.683333,4.706666
,2.683333,4.7
,2.683333,4.7
,2.69,4.706666
,2.676667,4.686666
,2.683333,4.7
,2.696667,4.706666
,2.683333,4.706666
,2.683333,4.686666
,2.696667,4.72
,2.69,4.706666
,2.69,4.706666
,2.676667,4.72
,2.69,4.72
,2.7,4.72
,2.696667,4.7
,2.683333,4.706666
,2.696667,4.72
,2.69,4.706666
,2.69,4.7
,2.7,4.706666
,2.696667,4.706666
,2.69,4.72
,2.69,4.72
,2.676667,4.706666
,2.69,4.733333
,2.683333,4.706666
,2.69,4.72
,2.696667,4.72
,2.676667,4.72
,2.696667,4.7
,2.7,4.706666
,2.7,4.72
,2.69,4.72
,2.683333,4.72
,2.7,4.733333
,2.7,4.733333
,2.696667,4.733333
,2.696667,4.733333
,2.69,4.72
,2.69,4.72
,2.69,4.733333
,2.69,4.72
,2.69,4.72
,2.69,4.72
,2.7,4.72
,2.713333,4.746666
,2.7,4.72
,2.7,4.746666
,2.7,4.733333
,2.69,4.72
,2.69,4.733333
,2.7,4.746666
,2.69,4.746666
,2.696667,4.733333
,2.706667,4.733333
,2.696667,4.733333
,2.7,4.733333
,2.706667,4.733333
,2.7,4.733333
,2.696667,4.746666
,2.7,4.733333
,2.696667,4.733333
,2.7,4.733333
,2.713333,4.733333
,2.696667,4.746666
,2.7,4.746666
,2.706667,4.733333
,2.706667,4.733333
,2.7,4.72
,2.7,4.746666
,2.706667,4.733333
,2.713333,4.746666
,2.713333,4.746666
,2.706667,4.746666
,2.713333,4.746666
,2.706667,4.76
,2.7,4.76
,2.72,4.746666
,2.7,4.746666
,2.7,4.746666
,2.713333,4.766666
,2.7,4.746666
,2.726667,4.746666
,2.7,4.746666
,2.706667,4.76
,2.7,4.746666
,2.706667,4.746666
,2.696667,4.76
,2.713333,4.76
,2.706667,4.746666
,2.7,4.746666
,2.726667,4.746666
,2.706667,4.733333
,2.713333,4.733333
,2.706667,4.766666
,2.706667,4.76
,2.713333,4.766666
,2.7,4.766666
,2.713333,4.766666
,2.72,4.76
,2.7,4.746666
,2.72,4.78
,2.72,4.766666
,2.713333,4.76
,2.713333,4.76
,2.713333,4.76
,2.713333,4.76
,2.706667,4.76
,2.713333,4.766666
,2.72,4.76
,2.713333,4.76
,2.706667,4.76
,2.713333,4.766666
,2.726667,4.76
,2.72,4.76
,2.713333,4.76
,2.72,4.766666
,2.726667,4.766666
,2.726667,4.766666
,2.72,4.746666
,2.72,4.76
,2.726667,4.76
,2.72,4.76
,2.72,4.766666
,2.726667,4.766666
